STATEFP,CD115FP,AFFGEOID,GEOID,LSAD,CDSESSN,ALAND,AWATER,PP_20m
01,04,5001500US0104,0104,C2,115,23022290079,573514877,26
01,07,5001500US0107,0107,C2,115,26301697324,332922212,21
01,02,5001500US0102,0102,C2,115,26269465210,304069410,30
34,04,5001500US3404,3404,C2,115,1790183883,49193621,36
34,05,5001500US3405,3405,C2,115,2568294919,83818240,28
34,02,5001500US3402,3402,C2,115,5425976974,2032573880,35
34,12,5001500US3412,3412,C2,115,1067327164,18558275,30
08,05,5001500US0805,0805,C2,115,18818296057,61236312,49
08,04,5001500US0804,0804,C2,115,98683966052,438481210,41
08,07,5001500US0807,0807,C2,115,886197293,24982004,35
08,02,5001500US0802,0802,C2,115,19516518907,236586877,34
12,06,5001500US1206,1206,C2,115,5624012888,1321898430,41
12,05,5001500US1205,1205,C2,115,9887623036,240835117,15
09,04,5001500US0904,0904,C2,115,1193579517,214382753,35
09,02,5001500US0902,0902,C2,115,5149127806,297834069,53
44,01,5001500US4401,4401,C2,115,695729218,628637485,33
44,02,5001500US4402,4402,C2,115,1982268321,694815361,44
04,08,5001500US0408,0408,C2,115,1398089166,4081290,34
06,44,5001500US0644,0644,C2,115,205462827,66957259,50
34,10,5001500US3410,3410,C2,115,196407602,12464516,26
20,04,5001500US2004,2004,C2,115,37076565850,188746571,41
29,08,5001500US2908,2908,C2,115,51543631130,444560710,45
40,01,5001500US4001,4001,C2,115,4226105183,143411660,24
40,04,5001500US4004,4004,C2,115,25323016947,407934365,34
24,01,5001500US2401,2401,C2,115,10300763780,4036018809,13
24,05,5001500US2405,2405,C2,115,3839955042,2066568067,35
24,02,5001500US2402,2402,C2,115,903021394,440312287,14
24,06,5001500US2406,2406,C2,115,5056221176,98108976,13
39,01,5001500US3901,3901,C2,115,1779276397,26627609,24
39,02,5001500US3902,3902,C2,115,8344022993,77185779,37
39,03,5001500US3903,3903,C2,115,590635256,11354623,23
39,10,5001500US3910,3910,C2,115,2926661524,14777588,45
39,11,5001500US3911,3911,C2,115,633251926,1310861846,16
39,09,5001500US3909,3909,C2,115,1203543249,4312119580,10
39,12,5001500US3912,3912,C2,115,5884482145,76534852,21
20,01,5001500US2001,2001,C2,115,136082693184,595682427,43
20,02,5001500US2002,2002,C2,115,36632524565,528627765,39
33,01,5001500US3301,3301,C2,115,6383006002,626684268,23
33,02,5001500US3302,3302,C2,115,16804439450,401958887,21
55,05,5001500US5505,5505,C2,115,4897561248,165577272,45
55,07,5001500US5507,5507,C2,115,59671136452,7701851011,30
55,08,5001500US5508,5508,C2,115,17629401229,8180916398,22
02,00,5001500US0200,0200,C1,115,1478588231566,277723861311,5
38,00,5001500US3800,3800,C1,115,178710423375,4400396641,73
46,00,5001500US4600,4600,C1,115,196345228871,3384471850,62
56,00,5001500US5600,5600,C1,115,251465641446,1860628076,77
22,03,5001500US2203,2203,C2,115,18089035191,5593777362,33
55,03,5001500US5503,5503,C2,115,28779826013,826216165,20
10,00,5001500US1000,1000,C1,115,5047241079,1398670234,39
47,04,5001500US4704,4704,C2,115,15500430694,241851589,23
17,17,5001500US1717,1717,C2,115,17949214253,346359938,23
06,02,5001500US0602,0602,C2,115,33546450051,4122300212,23
28,01,5001500US2801,2801,C2,115,27383787577,409006297,37
26,06,5001500US2606,2606,C2,115,9188433840,4065697553,57
36,18,5001500US3618,3618,C2,115,3506994481,160461621,40
37,10,5001500US3710,3710,C2,115,6708582979,107673789,37
13,10,5001500US1310,1310,C2,115,18380931910,463117419,43
48,16,5001500US4816,4816,C2,115,1841082535,3692186,71
23,01,5001500US2301,2301,C2,115,8511640854,4734127939,17
39,15,5001500US3915,3915,C2,115,12273509822,99729167,23
48,10,5001500US4810,4810,C2,115,13135591810,185966591,28
42,06,5001500US4206,4206,C2,115,2228736505,29642410,16
36,02,5001500US3602,3602,C2,115,470268701,375164144,56
22,04,5001500US2204,2204,C2,115,32209609166,1107495827,25
13,04,5001500US1304,1304,C2,115,1287248302,22015255,52
13,08,5001500US1308,1308,C2,115,22576793224,354618256,22
31,01,5001500US3101,3101,C2,115,22996551823,249258050,38
06,28,5001500US0628,0628,C2,115,565785716,2413830,42
48,22,5001500US4822,4822,C2,115,2676692480,61221627,27
19,01,5001500US1901,1901,C2,115,31206105117,228747351,30
34,08,5001500US3408,3408,C2,115,141627875,37950202,18
55,04,5001500US5504,5504,C2,115,332583505,2454601106,26
18,01,5001500US1801,1801,C2,115,2996149051,625369032,51
41,01,5001500US4101,4101,C2,115,7786840316,770903089,34
45,06,5001500US4506,4506,C2,115,20885955098,860176774,16
09,05,5001500US0905,0905,C2,115,3232512578,87623882,27
24,08,5001500US2408,2408,C2,115,2226202153,24107309,17
42,12,5001500US4212,4212,C2,115,5602307850,59304328,15
05,03,5001500US0503,0503,C2,115,13982291978,376049391,17
19,02,5001500US1902,1902,C2,115,31758222558,431617733,36
37,05,5001500US3705,3705,C2,115,10279841771,80945652,38
42,07,5001500US4207,4207,C2,115,2233770399,21529041,9
37,01,5001500US3701,3701,C2,115,15206074948,526877237,26
48,28,5001500US4828,4828,C2,115,24291208331,299397432,18
48,15,5001500US4815,4815,C2,115,20212412244,154866287,15
04,02,5001500US0402,0402,C2,115,20298521121,138380115,56
49,02,5001500US4902,4902,C2,115,103638398244,2945355622,45
06,39,5001500US0639,0639,C2,115,529385455,3117073,48
06,25,5001500US0625,0625,C2,115,4378778073,30920024,32
